,0
0,0.36895866052243836
1,-2.1837638007708873
2,2.992180777140833
3,2.670476661752561
4,1.5741712242447385
5,-3.9240658428877824
6,-2.042981422263383
7,3.6226406190276914
8,1.859616292798931
9,-5.118992410143096
10,-3.597325985682218
11,-2.2038247267532203
12,-0.005100360762908193
13,-1.2675114468618025
14,0.8026239655993527
15,0.46876466670734673
16,-2.8181801647587643
17,-0.06288807370465438
18,-1.8198510216567672
19,-4.561957164861342
20,2.646661076365753
21,1.5406439962739902
22,-1.8437273578290745
23,1.0273491974025677
24,-2.513111617461973
25,-0.9053793423097355
26,1.404213391350895
27,0.23750823930285136
28,-3.1874191159152496
29,-1.8406506819225936
30,-2.8924269576383113
31,0.37972790038297677
32,0.44232325339470874
33,-2.752426026494014
34,-0.19658477929610854
35,-0.3395870255492162
36,2.326414762250988
37,-0.579513977038627
38,-5.846515918529765
39,1.3316055484253013
40,-0.5856192505594588
41,2.827243913743492
42,3.8023926357437743
43,-1.1958615793410943
44,2.777533191304378
45,1.1942550501253129
46,-3.0193307116499817
47,-0.2733567651502913
48,4.541960185220589
49,4.350754695787899
50,-0.19383429277465225
51,3.0839177639331226
52,-1.526990237416075
53,-0.3871862782581702
54,1.1295279932091817
55,0.5175395078987306
56,-0.13412324264258516
57,2.2167686510593456
58,-2.0394552846148235
59,-2.3775331667946573
60,0.8534933096553152
61,-0.15618628033850152
62,-1.055394456640775
63,2.339700358391851
64,2.0633672886250602
65,0.19969189808474627
66,-1.0122783332176088
67,4.71635916515266
68,0.7590068627002354
69,-0.3038463566069982
70,2.1756611470002225
71,2.1962910326531233
72,1.3588943081415792
73,-0.15909548449913832
74,0.7588316698959965
75,-4.062273370060788
76,1.471680723055581
77,-2.5700835994364586
78,-1.9062964210062148
79,2.4451114955020943
80,-4.106922444700241
81,2.653378044393958
82,1.1279837474127357
83,2.25368448226491
84,0.556059202166022
85,0.41657884114204813
86,-2.1146345176639922
87,0.885925265222062
88,2.6387088258737386
89,-4.303769735886464
90,-0.07982323279059073
91,-2.5406151823341303
92,0.5378562434433197
93,-0.3987429471931848
94,-2.1386302672885265
95,-0.2520754873743685
96,-3.5591826048219515
97,1.0880134304053286
98,2.508686121373166
99,-1.802813575752406
100,-2.5039122632514976
101,1.0873905939065
102,0.263809398684311
103,3.4331796552835363
104,-0.14273582614283128
